is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
1,242.41248110080002,542.0507863358,1995-01-16 00:00:00,1995-01-16 06:35:00,Earth,15.9597865749,57455.2316697415,Near Earth asteroid orbits similar to that of 2062 Aten,2002340,2340 Hathor (1976 UA),957.5871944956917
0,16.8249962697,37.6218353801,1995-01-16 00:00:00,1995-01-16 21:06:00,Earth,9.1421510542,32911.743795120696,An asteroid orbit contained entirely within the orbit of the Eart,54016993,(2020 JG1),548.5290632520116
0,40.2304579834,89.9580388169,1995-01-17 00:00:00,1995-01-17 02:46:00,Earth,12.991336316500002,46768.8107394954,Near Earth asteroid orbits similar to that of 1221 Amor,3102762,(2002 AA29),779.4801789915899
0,19.2555078188,43.0566244241,1995-01-17 00:00:00,1995-01-17 15:08:00,Earth,17.234431581099994,62043.9536918491,Near Earth asteroid orbits similar to that of 1221 Amor,3956448,(2019 YP3),1034.0658948641517
0,483.67648821849997,1081.533506775,1995-01-21 00:00:00,1995-01-21 07:55:00,Earth,14.0998903803,50759.60536915741,Near Earth asteroid orbits similar to that of 1221 Amor,2373579,373579 (2002 AW11),845.9934228192902
0,36.6906137531,82.0427064882,1995-01-21 00:00:00,1995-01-21 02:21:00,Earth,7.532718152,27117.785347305202,Near Earth asteroid orbits similar to that of 1221 Amor,3843085,(2019 NG),451.96308912175334
0,319.5618867213,714.5621017269,1995-01-22 00:00:00,1995-01-22 07:32:00,Earth,16.8844014801,60783.84532847409,An asteroid orbit contained entirely within the orbit of the Eart,3788091,(2017 UR7),1013.0640888079015
1,221.0828103591,494.3561926196,1995-01-22 00:00:00,1995-01-22 05:14:00,Earth,11.6741465305,42026.9275099544,Near Earth asteroid orbits similar to that of 1221 Amor,3794988,(2017 YZ1),700.4487918325734
0,319.5618867213,714.5621017269,1995-01-22 00:00:00,1995-01-22 15:17:00,Earth,24.4218373587,87918.6144913344,Near Earth asteroid orbits similar to that of 1221 Amor,2153315,153315 (2001 NH6),1465.31024152224
0,766.5755735311,1714.1150923063,1995-01-22 00:00:00,1995-01-22 13:06:00,Earth,17.373784261300006,62545.62334056231,Near Earth asteroid orbits similar to that of 1221 Amor,2162463,162463 (2000 JH5),1042.4270556760387
0,88.0146520901,196.80674508939998,1995-01-22 00:00:00,1995-01-22 12:17:00,Earth,22.3739049599,80546.05785574121,Near Earth asteroid orbits similar to that of 2062 Aten,3444370,(2009 BH2),1342.4342975956868
0,18.388867207,41.1187571041,1995-01-22 00:00:00,1995-01-22 06:33:00,Earth,17.2746114639,62188.6012700346,Near Earth asteroid orbits similar to that of 2062 Aten,3448992,(2009 DD45),1036.4766878339099
0,26.58,59.434686841899996,1995-01-22 00:00:00,1995-01-22 14:04:00,Earth,12.1185099373,43626.6357742159,An asteroid orbit contained entirely within the orbit of the Eart,3611400,(2012 UC),727.1105962369317
0,42.1264610556,94.1976305719,1995-01-20 00:00:00,1995-01-20 09:54:00,Earth,10.4078371003,37468.2135612528,An asteroid orbit contained entirely within the orbit of the Eart,3264189,(2004 YD),624.47022602088
0,53.0340723319,118.5877908577,1995-01-20 00:00:00,1995-01-20 12:48:00,Earth,15.259069392,54932.6498111989,Near Earth asteroid orbits similar to that of 1221 Amor,3740496,(2016 AG193),915.5441635199817
0,44.1118199997,98.6370281305,1995-01-20 00:00:00,1995-01-20 12:44:00,Earth,7.5241225943,27086.841339452596,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3702918,(2014 YC9),451.44735565754326
0,80.2703167283,179.48988477990002,1995-01-29 00:00:00,1995-01-29 04:02:00,Earth,14.8737367384,53545.4522582771,Near Earth asteroid orbits similar to that of 2062 Aten,3092134,(1995 BK2),892.4242043046183
1,1160.2590820944001,2594.4181790745,1995-01-29 00:00:00,1995-01-29 11:20:00,Earth,26.152266264,94148.1585503345,Near Earth asteroid orbits similar to that of 1221 Amor,2103067,103067 (1999 XA143),1569.1359758389083
0,21.113244479000002,47.2106498806,1995-01-29 00:00:00,1995-01-29 19:16:00,Earth,4.705200179599999,16938.7206464335,Near Earth asteroid orbits similar to that of 2062 Aten,3802063,(2018 FV3),282.31201077389164
0,11.6025908209,25.9441817907,1995-01-29 00:00:00,1995-01-29 05:15:00,Earth,18.156127252,65362.0581071525,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3769817,(2017 DU34),1089.3676351192084
0,253.8370293645,567.5968528656,1995-01-27 00:00:00,1995-01-27 14:04:00,Earth,14.1607747201,50978.788992531394,An asteroid orbit contained entirely within the orbit of the Eart,2396793,396793 (2004 JN2),849.6464832088566
1,183.88867207029998,411.1875710413,1995-01-27 00:00:00,1995-01-27 02:48:00,Earth,29.4113861383,105880.9900977965,An asteroid orbit contained entirely within the orbit of the Eart,3556968,(2011 CT4),1764.6831682966083
0,31.9561886721,71.45621017270001,1995-01-27 00:00:00,1995-01-27 09:45:00,Earth,9.2549534024,33317.8322487111,Near Earth asteroid orbits similar to that of 1221 Amor,3768617,(2017 CP1),555.297204145185
0,12.721987853900002,28.447229650300002,1995-01-27 00:00:00,1995-01-27 15:41:00,Earth,4.2327906836,15238.0464608016,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3451792,(2009 FH),253.96744101335997
0,12.721987853900002,28.447229650300002,1995-01-27 00:00:00,1995-01-27 23:26:00,Earth,8.599442511900001,30957.9930428901,Near Earth asteroid orbits similar to that of 1221 Amor,3831167,(2018 TC),515.966550714835
0,2.2108281036,4.9435619262,1995-01-27 00:00:00,1995-01-27 20:51:00,Earth,7.3642513415,26511.3048293448,Near Earth asteroid orbits similar to that of 1221 Amor,3879275,(2019 UU1),441.85508048908
0,231.5021222103,517.6544821978,1995-01-28 00:00:00,1995-01-28 17:57:00,Earth,20.74106128,74667.8206079143,Near Earth asteroid orbits similar to that of 2062 Aten,2393569,393569 (2003 JC13),1244.4636767985717
0,16.0160337979,35.8129403019,1995-01-28 00:00:00,1995-01-28 19:37:00,Earth,3.6647219389999997,13192.9989804473,Near Earth asteroid orbits similar to that of 1221 Amor,3788891,(2017 UA45),219.88331634078835
0,350.3926411083001,783.5017643338,1995-01-28 00:00:00,1995-01-28 07:14:00,Earth,15.966012128800001,57477.6436636246,Near Earth asteroid orbits similar to that of 1221 Amor,3763424,(2016 VG2),957.9607277270767
0,2914.4390453486,6516.883821679,1995-01-25 00:00:00,1995-01-25 22:34:00,Earth,8.6774492303,31238.8172290412,Near Earth asteroid orbits similar to that of 1221 Amor,2005751,5751 Zao (1992 AC),520.6469538173534
0,92.1626548503,206.08196123209999,1995-01-25 00:00:00,1995-01-25 07:46:00,Earth,6.351777194199999,22866.3978992155,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3689345,(2014 SW141),381.10663165359165
